CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,AccX,AccY,AccZ,GyX,GyY,GyZ,TimeStamp
210360.761,209965.6753,208598.5074,207305.8016,209765.1826,212516.9563,212756.606,214085.533,26.85833248,185.5215578,169.0922755,0.051057975,0.00907859,0.02260004,58:59.5
210384.6862,210009.7767,208552.5299,207271.8377,209729.4498,212374.6738,212773.1709,214070.9614,28.79281216,183.689137,167.5903253,0.032363198,0.017066363,0.031621501,58:59.7
210437.8416,210056.1235,208532.2016,207257.054,209701.1464,212268.4632,212781.4518,214051.2603,31.28348832,182.477615,168.2504118,0.014256799,0.006792951,0.015165,58:59.9
210487.9435,210066.6578,208508.8405,207240.7492,209674.7116,212185.7172,212780.1947,214028.7126,32.8279224,181.043053,168.0063739,0.029538987,0.008719216,0.018744581,59:00.1
210547.5331,210077.5063,208494.0133,207227.1363,209651.9545,212132.3397,212775.463,214018.6923,33.7246,182.9133186,166.5051562,0.038418359,0.006325179,0.019403759,59:00.3
210672.1136,210063.7357,208438.6168,207159.8457,209578.3333,212134.5575,212740.7651,213980.8378,28.8914528,188.1429816,164.041948,0.085002224,0.008376443,0.037314358,59:00.5
210695.7605,210044.8291,208429.8311,207179.6328,209563.1502,212093.0808,212734.8782,213962.6377,27.10505616,188.6110363,160.0451709,0.022652286,0.004066396,0.020220651,59:00.7
210671.2586,210049.1753,208455.5379,207221.0224,209581.1854,212028.7535,212738.1989,213970.8283,25.8333488,192.1008152,158.7064416,0.016245076,0.007194806,0.011362276,59:00.9
210661.221,210062.0788,208462.9749,207237.2146,209586.6534,211968.2187,212729.8889,213964.7501,27.3135688,191.1140426,158.9980907,0.016686969,0.005184069,0.014502893,59:01.1
210689.2843,210054.5123,208447.3168,207217.2117,209576.6794,211900.3829,212692.2192,213941.7102,27.87281728,191.097928,158.1550062,0.053431016,0.040703509,0.038321679,59:01.3
210783.6709,208113.4566,208927.6189,207966.7466,210110.1469,212002.3524,212753.2578,214038.7266,24.65784048,183.5657141,159.7078638,0.302832233,0.05431822,0.065750808,59:01.5
209593.2436,199388.7453,212097.4384,211446.386,213465.7221,213838.5832,211126.6648,212998.273,33.30171488,203.6291958,137.1550488,0.389745584,0.025269467,0.11260811,59:01.7
202117.5572,195128.6778,214219.8535,219978.8298,221468.1676,217998.274,189780.5123,191113.6009,36.1881744,225.356628,103.3706296,0.311669124,0.038561913,0.063810872,59:01.9
187861.4976,192504.8335,193160.8282,215851.4169,221341.0801,216650.7928,166102.1034,167941.9765,38.2067672,234.396652,72.588768,0.255116534,0.070973939,0.109726282,59:02.2
188661.4305,199145.3977,201391.8964,221999.5123,228731.1913,226425.9294,158742.6508,175139.9504,19.74692832,241.4876688,68.8628864,0.18694874,0.083343048,0.309898621,59:02.4
184277.4933,197402.4325,206171.1865,225592.249,223123.7342,225450.7096,167482.474,178843.5574,5.685876,230.4911907,86.96051392,0.19645311,0.048883664,0.034329014,59:02.6
185924.0295,198694.6571,211384.2983,220660.4781,217280.2792,227031.8,176206.3308,180272.2289,8.91025296,244.1963798,97.4186192,0.62886216,0.067635081,0.123174978,59:02.8
192976.826,205774.1943,212840.6835,215383.0875,215282.4961,223275.2748,188183.9418,184272.1583,12.01926432,168.4349968,160.9467317,0.672828844,0.114217481,0.121476252,59:03.0
193911.6581,208328.1852,211719.6158,213467.8703,214447.5412,221533.9171,193512.9966,185236.7747,29.18420064,160.5851307,178.8176566,0.351688553,0.117672062,0.028500415,59:03.2
194465.6301,209258.3178,211085.4483,212450.5296,213495.6733,219787.9669,196326.5193,186215.2272,39.5002048,206.6500654,135.8630762,0.405989195,0.082274203,0.050076044,59:03.4
194589.8206,209118.7399,210019.6402,211076.5134,212205.7537,217573.5958,197945.6159,186322.7382,45.5016576,217.2853088,115.875284,0.06570784,0.035891021,0.022260685,59:03.6
