CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,AccX,AccY,AccZ,GyX,GyY,GyZ
91480.86712,104595.7141,111734.4065,108173.2487,120429.6528,103232.6336,57984.59252,68382.76229,1.06893248,14.08180592,247.1339909,0.004829089,0.004022939,0.005310533
91445.39302,104557.5359,111707.2121,108141.1462,120396.5626,103210.8949,57999.71086,68399.03376,0.82111008,14.18899216,247.0436517,0.007561504,0.004027822,0.006126937
91393.59581,104492.5586,111654.5511,108077.7909,120336.3335,103118.0733,58028.00091,68437.78542,0.94233552,13.94654128,247.0620858,0.005883286,0.004136708,0.004897448
91332.12424,104416.9586,111580.2092,107996.4039,120268.8699,103055.0306,58050.16626,68451.16827,0.86200688,13.9909784,247.0398672,0.006659651,0.004012685,0.006670881
91264.80092,104324.8696,111502.9633,107906.1001,120165.1782,102908.2489,58062.04262,68461.09783,0.9626008,13.56028016,247.157064,0.005013659,0.003952627,0.005163073
91208.21741,104269.8435,111457.802,107856.4731,120124.8131,102876.8958,58072.0825,68465.13791,0.95820592,13.86255024,247.1182426,0.00564354,0.003853994,0.005260729
91150.5039,104205.4803,111403.5893,107789.6597,120054.9446,102784.6757,58081.64248,68484.0967,0.85040928,13.91382384,247.1211725,0.004654773,0.003832998,0.005647446
91075.99648,104097.1295,111299.2886,107677.6537,119962.3272,102740.1378,58094.88184,68479.41926,0.95515392,13.7895464,247.1641446,0.004581531,0.004074208,0.00506737
91028.18291,104082.0696,111306.7933,107677.9652,119940.9056,102627.7404,58099.31307,68480.48083,0.75848304,13.95362192,247.0390126,0.005826157,0.003843252,0.00545067
90985.41509,104007.7725,111231.358,107598.9643,119885.5472,102600.0468,58119.31106,68478.1972,0.87152912,13.93140336,247.0353502,0.005468736,0.004077626,0.005669419
90924.15488,103937.8757,111177.2468,107531.234,119805.6025,102502.004,58133.06024,68476.8689,0.96907104,13.8341056,247.1145802,0.004825671,0.004101552,0.005568345
90846.15921,103834.4204,111075.3425,107427.5152,119720.4521,102449.8009,58155.33317,68462.49524,0.7776496,13.96009216,247.131183,0.006418441,0.003647452,0.005548814
90760.55486,103735.2537,110988.3207,107328.5976,119613.151,102330.849,58154.30239,68456.94601,0.84003248,13.94861664,247.0429192,0.005624009,0.003812979,0.005687485
90675.05985,103628.3498,110882.3558,107217.9794,119519.034,102300.0386,58154.14358,68430.8205,0.88715536,13.75084704,247.0680677,0.004686511,0.003736807,0.006032211
90569.3749,103516.4051,110789.8192,107114.6277,119400.0229,102213.5011,58155.79077,68413.33811,0.75335568,14.091084,247.0607429,0.005666978,0.004051747,0.005785141
90516.32003,103465.6668,110746.2077,107066.5831,119365.1291,102154.9645,58168.59692,68416.98128,0.94013808,13.99049008,247.0583013,0.006630842,0.003470694,0.005874985
